Year,GlobalMean,Measurement,FoodGroup,Unit
1971,4.058552632,Protein,Pulses,g/capita/day
1971,0.619078947,Protein,Spices & stimulants,g/capita/day
1971,2.883552632,Protein,Starchy roots,g/capita/day
1971,0.019736842,Protein,Sweeteners,g/capita/day
1971,1.793421053,Protein,Vegetables,g/capita/day
1972,90.39473684,Calories,Alcoholic beverages,kcal/capita/day
1972,430.2763158,Calories,Animal products,kcal/capita/day
1972,92.125,Calories,Fruits,kcal/capita/day
1972,1000.065789,Calories,Grains,kcal/capita/day
1972,1.644736842,Calories,Miscellaneous,kcal/capita/day
1972,230.2631579,Calories,Oils,kcal/capita/day
1972,62.90131579,Calories,Pulses,kcal/capita/day
1972,10.93421053,Calories,Spices & stimulants,kcal/capita/day
1972,195.4144737,Calories,Starchy roots,kcal/capita/day
1972,260.2631579,Calories,Sweeteners,kcal/capita/day
1972,35.73684211,Calories,Vegetables,kcal/capita/day
1972,0.082894737,Fat,Alcoholic beverages,g/capita/day
1972,31.175,Fat,Animal products,g/capita/day
1972,0.528947368,Fat,Fruits,g/capita/day
1972,5.415789474,Fat,Grains,g/capita/day
1972,0.010526316,Fat,Miscellaneous,g/capita/day
1972,24.11907895,Fat,Oils,g/capita/day
1972,0.334868421,Fat,Pulses,g/capita/day
1972,0.533552632,Fat,Spices & stimulants,g/capita/day
1972,0.325657895,Fat,Starchy roots,g/capita/day
1972,0.007236842,Fat,Sweeteners,g/capita/day
1972,0.290789474,Fat,Vegetables,g/capita/day
1972,122.128695,Food Weight,Alcoholic beverages,g/capita/day
1972,394.8666186,Food Weight,Animal products,g/capita/day
1972,179.149243,Food Weight,Fruits,g/capita/day
