Item,FoodGroup,Year,Measurement,NoCountries
Sweeteners (other),Sweeteners,1962,Food Weight,78
Tea,Spices & stimulants,1962,Food Weight,92
Tomatoes,Vegetables,1962,Food Weight,116
Treenuts,Oils,1962,Food Weight,103
Vegetables (other),Vegetables,1962,Food Weight,151
Wheat,Cereals,1962,Food Weight,151
Yams,Starchy roots,1962,Food Weight,43
Alcoholic beverages,Alcoholic beverages,1963,Calories,124
Animal Products (Total),Animal Products,1963,Calories,152
Apples,Fruits,1963,Calories,74
Bananas & plantains,Fruits,1963,Calories,128
Barley & beer,Alcoholic beverages,1963,Calories,140
Beans,Pulses,1963,Calories,96
Cassava,Starchy roots,1963,Calories,83
Cereals (other),Cereals ,1963,Calories,75
Citrus (other),Fruits,1963,Calories,16
Cloves,Spices & stimulants,1963,Calories,1
Cocoa beans,Spices & stimulants,1963,Calories,87
Coconuts,Oils,1963,Calories,107
Coffee,Spices & stimulants,1963,Calories,81
Cottonseed oil,Oils,1963,Calories,78
Dates,Fruits,1963,Calories,45
Fermented beverages,Alcoholic beverages,1963,Calories,42
Fruits (other),Fruits,1963,Calories,149
Grapefruit,Fruits,1963,Calories,30
Grapes & wine,Alcoholic beverages,1963,Calories,101
Groundnut,Oils,1963,Calories,124
Lemons & limes,Fruits,1963,Calories,49
Maize,Cereals,1963,Calories,124
Millets,Cereals,1963,Calories,48
Miscellaneous,Miscellaneous,1963,Calories,48
Oats,Cereals,1963,Calories,55
Oilcrops (other),Oils,1963,Calories,99
Olives,Oils,1963,Calories,65
Onions,Vegetables,1963,Calories,109
Oranges & mandarines,Fruits,1963,Calories,105
Palm oil,Oils,1963,Calories,59
Peas,Pulses,1963,Calories,64
Pepper,Vegetables,1963,Calories,25
Pimento,Spices & stimulants,1963,Calories,52
Pineapples,Fruits,1963,Calories,59
Potatoes,Starchy roots,1963,Calories,135
Pulses (other),Pulses,1963,Calories,129
Rape & mustard,Spices & stimulants,1963,Calories,40
Rice,Cereals,1963,Calories,148
Roots (other),Starchy roots,1963,Calories,71
Rye,Cereals,1963,Calories,41
Sesame ,Oils,1963,Calories,60
Sorghum,Cereals,1963,Calories,49
Soybean,Oils,1963,Calories,88
Spices (other),Spices & stimulants,1963,Calories,69
Sugar,Sweeteners,1963,Calories,151
Sunflower,Oils,1963,Calories,46
Sweet potatoes,Starchy roots,1963,Calories,83
Sweeteners (other),Sweeteners,1963,Calories,78
Tea,Spices & stimulants,1963,Calories,38
Tomatoes,Vegetables,1963,Calories,98
Treenuts,Oils,1963,Calories,99
Vegetables (other),Vegetables,1963,Calories,151
Wheat,Cereals,1963,Calories,151
Yams,Starchy roots,1963,Calories,42
Alcoholic beverages,Alcoholic beverages,1963,Fat,0
Animal Products (Total),Animal Products,1963,Fat,152
Apples,Fruits,1963,Fat,35
Bananas & plantains,Fruits,1963,Fat,57
Barley & beer,Alcoholic beverages,1963,Fat,20
Beans,Pulses,1963,Fat,63
Cassava,Starchy roots,1963,Fat,51
Cereals (other),Cereals ,1963,Fat,26
Citrus (other),Fruits,1963,Fat,5
Cloves,Spices & stimulants,1963,Fat,1
Cocoa beans,Spices & stimulants,1963,Fat,84
Coconuts,Oils,1963,Fat,107
Coffee,Spices & stimulants,1963,Fat,0
Cottonseed oil,Oils,1963,Fat,79
Dates,Fruits,1963,Fat,11
