ItemName,ElementName,UnitName,AvgValue61to63,61-63percentoftotal,AvgValue07to09,07-09percentoftotal,change 2009-1961,absoluteChange,change of relative percent 2009-1961,relativeChange,Use
Dates,Food Weight,g/capita/day,2.99,0.20%,2.87,0.20%,-0.13,-4.20%,0.00%,-23.80%,
Dates,Protein,g/capita/day,0.04,0.10%,0.04,0.10%,0,-6.90%,0.00%,-26.30%,
Fermented beverages,Calories,kcal/capita/day,9.54,0.40%,6.51,0.20%,-3.02,-31.70%,-0.20%,-44.10%,
Fermented beverages,Fat,g/capita/day,0,0.00%,0,0.00%,0,0.00%,0.00%,-33.10%,
Fermented beverages,Food Weight,g/capita/day,22.31,1.50%,15.1,0.80%,-7.21,-32.30%,-0.70%,-46.10%,1
Fermented beverages,Protein,g/capita/day,0.1,0.20%,0.07,0.10%,-0.03,-28.10%,-0.10%,-43.10%,
Fruits (other),Calories,kcal/capita/day,24.22,1.10%,28.33,1.00%,4.11,17.00%,0.00%,-4.30%,1
Fruits (other),Fat,g/capita/day,0.34,0.60%,0.42,0.50%,0.08,24.00%,-0.10%,-17.10%,
Fruits (other),Food Weight,g/capita/day,53.97,3.70%,65.68,3.60%,11.71,21.70%,-0.10%,-3.10%,1
Fruits (other),Protein,g/capita/day,0.29,0.50%,0.34,0.40%,0.05,16.60%,0.00%,-7.70%,
Grapefruit,Calories,kcal/capita/day,0.66,0.00%,2.02,0.10%,1.36,205.40%,0.00%,149.90%,
Grapefruit,Fat,g/capita/day,0,0.00%,0.01,0.00%,0,366.70%,0.00%,212.00%,
Grapefruit,Food Weight,g/capita/day,3.37,0.20%,9.84,0.50%,6.47,192.30%,0.30%,132.70%,
Grapefruit,Protein,g/capita/day,0.01,0.00%,0.02,0.00%,0.02,214.30%,0.00%,148.70%,
